Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2745_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
3162.3722970755,0.000606689,0.0005368022,0.000356647,0.0005073397,0.0002809262,0.0004592366,0.0002869882,0.0002936438,0.0003629093,0.0005532083,0.0003729473,0.0005303132,0.0003531666,0.0004553997,0.0005906899,0.0006109705,0.0015346396,0.0008108054,0.001323424,0.0003191795,0.0004938814,0.0084149973,0.0010808129,0.0003264961,0.0006363179,0.000827227,0.0003324731,0.0004856055,0.000511073,0.0002728069,0.0004138208,0.0068193646,0.0004282684,0.0003544763,0.0006694608,0.0005384433,0.0004216158,0.0008130147,0.0014920577,0.0003975626
3169.5986502752,0.0019055545,0.0010881459,0.0011904769,0.0037507464,0.0016337526,0.0022117434,0.0019045887,0.0023873501,0.0014594176,0.0062917375,0.0014227185,0.0033601805,0.0023935199,0.0022455335,0.0032244524,0.0008672845,0.0012561978,0.000934713,0.0009817008,0.0019558757,0.003085207,0.003622405,0.0075470962,0.0025961893,0.0024741559,0.0075791129,0.0033217009,0.0049980518,0.0021064241,0.0035575617,0.0055106619,0.0108140005,0.0018791317,0.0013325871,0.002844809,0.0023053083,0.0029822362,0.0051472445,0.0013101532,0.0045816495
3247.907921832,0.0008303758,0.0007476548,0.0017190824,0.0020172693,0.0019573911,0.0022659394,0.0014372613,0.0015029316,0.0020139673,0.0016730177,0.0012235352,0.0024674577,0.0014661818,0.001261444,0.0021120685,0.0011024194,0.002015974,0.002226373,0.0013844669,0.0013883196,0.0016157492,0.0025443184,0.0071167713,0.0018639177,0.0019113971,0.0027722678,0.0018543352,0.002178101,0.001765891,0.0021061442,0.0019141239,0.0025803388,0.0014802209,0.0009915685,0.0015892831,0.0015449102,0.0019029773,0.0019343321,0.0022155603,0.0015524596
3254.5652532869,0.0056178599,0.0025497892,0.004089734,0.0085946516,0.0062179408,0.0047118734,0.0045945379,0.0055946,0.0055793559,0.0080801311,0.0039047152,0.008729457,0.004736629,0.0045488521,0.0058835061,0.0023450758,0.0049173005,0.0037278824,0.0045820058,0.0050602525,0.0053654182,0.006348241,0.0116512161,0.0034087119,0.0055306283,0.0102576431,0.0048908182,0.0081484543,0.0053936428,0.0050058215,0.0070382819,0.0006908718,0.0040291287,0.0029686597,0.0059878524,0.0045032412,0.0080164323,0.0065879506,0.0023991116,0.0060916768
3300.0162794394,0.0042663467,0.0018740528,0.0014437663,0.0059865902,0.0028250915,0.0024219944,0.0041818025,0.0043543084,0.0037806754,0.0053039705,0.0028702484,0.0056828741,0.0011795816,0.00462207,0.0047269202,0.0021883511,0.0012723293,0.0024906129,0.0009182628,0.000752713,0.0043838204,0.0042292064,0.0038697497,0.002513493,0.0036678458,0.0056936947,0.0040662887,0.0057384329,0.0039581479,0.0041787365,0.0061471331,0.0005237179,0.0017154932,0.0028097372,0.0053046424,0.0034891167,0.0057178256,0.0065250245,0.0020297941,0.0043370796
3314.9206577366,0.0010765385,0.0007450977,0.0026851676,0.0015998217,0.0009600758,0.0009496173,0.0011263294,0.0010533482,0.0010270937,0.0017507047,0.0007780974,0.0013978591,0.0030066616,0.0012382142,0.0014414259,0.0010188719,0.0028667447,0.0010438708,0.0026443121,0.0019761817,0.0012169216,0.0009139678,0.0035213819,0.0009159514,0.0011643223,0.0015931859,0.0011421039,0.0028661217,0.0011383244,0.0011536992,0.001673628,0.005694156,0.0005591706,0.0007829955,0.0016449778,0.0009050282,0.0014475635,0.0015431198,0.0018954242,0.0012193429
3428.6863072056,0.0051899588,0.0032567872,0.0049036585,0.0088223455,0.0073463885,0.0040038487,0.0049721366,0.0054137929,0.0059487336,0.0073026843,0.0044735744,0.0089839408,0.0043450628,0.0039916141,0.0040570034,0.0041728577,0.0055222218,0.0048395949,0.0053820918,0.005532674,0.0036565646,0.0044879034,0.012626238,0.0023219991,0.00479811,0.0085184439,0.0039569899,0.0085819891,0.0059073721,0.0037501842,0.0061768482,0.0146771189,0.0031000892,0.0028653226,0.0053052861,0.003475894,0.0072051249,0.005883503,0.0029947285,0.0057359744
3443.7442737307,0.0082334042,0.0048212934,0.0059078124,0.0109332457,0.0085813353,0.0063078545,0.0071905478,0.008032796,0.0080940949,0.0104382948,0.0062290863,0.0116084626,0.006356754,0.0060579925,0.0072866356,0.00512371,0.0069954843,0.0064561378,0.0075396708,0.0075793208,0.0072263039,0.007210934,0.0154543077,0.0044314982,0.0074267012,0.0116531483,0.0061712931,0.0108654022,0.0075949325,0.0064001265,0.0097431465,0.0045780133,0.0058338813,0.0045714284,0.0082401786,0.0060632587,0.0109472585,0.0099971598,0.0050911341,0.0080199
3496.0171594856,0.0017396793,0.0012488836,0.0015049563,0.0026029942,0.0017748525,0.0012859146,0.0015913558,0.0017339599,0.0015671928,0.0029617554,0.0012934571,0.0028304142,0.0013518149,0.0013947369,0.0013770804,0.0015849577,0.0013968155,0.0013550671,0.0014645848,0.0016331911,0.0011985184,0.0012404073,0.0036274702,0.0010900634,0.0014030237,0.0021781955,0.0012162433,0.0015991051,0.0023597033,0.0013155818,0.0068312472,0.0037430646,0.0012789444,0.0010500486,0.001541416,0.0011075153,0.002073259,0.0021116048,0.002013628,0.0018649943
3515.3750805388,0.0056118293,0.0036364498,0.0042061078,0.0079063452,0.004678635,0.0034341066,0.0054494182,0.0058417457,0.0046893508,0.0079447037,0.0043283861,0.0079822605,0.0041942816,0.0041821764,0.0044734219,0.0045431484,0.0037359669,0.0033756301,0.0041066886,0.0051910831,0.0044708062,0.0040228201,0.0093789816,0.0030813867,0.0038866515,0.0077031747,0.0045290712,0.0057335525,0.0061520899,0.0048373911,0.006597865,0.0105275105,0.0038306673,0.0033483067,0.0048865172,0.0036127213,0.0061838633,0.0059488667,0.0020731937,0.0051202654
