"Mass","enterococcus_faecium_s_1054_-_d1","enterococcus_faecium_s_1065_-_d1","enterococcus_faecium_s_1269_-_d1","enterococcus_faecium_s_142_-_d1","enterococcus_faecium_s_1508_-_d1","enterococcus_faecium_s_1514_-_d1","enterococcus_faecium_s_1604_-_d1","enterococcus_faecium_s_1841_-_d1","enterococcus_faecium_s_1856_-_d1","enterococcus_faecium_s_1963_-_d1","enterococcus_faecium_s_2090_-_d1","enterococcus_faecium_s_2217_-_d1","enterococcus_faecium_s_276_-_d1","enterococcus_faecium_s_491_-_d1","enterococcus_faecium_s_974_-_d1","enterococcus_faecium_s_g-13_-_d1","enterococcus_faecium_s_g-19_-_d1","enterococcus_faecium_s_g-1_-_d1","enterococcus_faecium_s_g-20_-_d1","enterococcus_faecium_s_g-3_-_d1","enterococcus_faecium_vanb_1080_-_d1","enterococcus_faecium_vanb_1095_-_d1","enterococcus_faecium_vanb_1144_-_d1","enterococcus_faecium_vanb_1213_-_d1","enterococcus_faecium_vanb_1303_-_d1","enterococcus_faecium_vanb_1791_-_d1","enterococcus_faecium_vanb_2038_-_d1","enterococcus_faecium_vanb_2043_-_d1","enterococcus_faecium_vanb_2119_-_d1","enterococcus_faecium_vanb_2167_-_d1","enterococcus_faecium_vanb_2446_-_d1","enterococcus_faecium_vanb_2745_-_d1","enterococcus_faecium_vanb_2_-_d1","enterococcus_faecium_vanb_313_-_d1","enterococcus_faecium_vanb_342_-_d1","enterococcus_faecium_vanb_468_-_d1","enterococcus_faecium_vanb_736_-_d1","enterococcus_faecium_vanb_775_-_d1","enterococcus_faecium_vanb_834_-_d1","enterococcus_faecium_vanb_887_-_d1"
2553.6254905711,412.803733026,129.4940263546,1877.6165710189,808.8914860004,1373.6144250542,997.4925879068,1384.8669712596,1175.6121304255,953.2899451057,1490.7032727359,803.3137261107,627.8505858687,1369.4999440244,504.6020299993,1496.1585119089,56.7327407394,645.0881364779,114.6069690047,266.4524592357,1370.0005833053,993.8102724576,584.8507844766,1949.4961947102,1563.9480827775,622.2253003205,1333.6026939837,1489.1868438029,2324.1106282348,500.2622895607,2403.2140553775,1391.3642697421,1213.8067895817,717.0116293202,533.886488927,297.9810570728,947.1696629445,502.7639630918,580.8850294234,22.5752081437,655.3214107977
2596.4033464019,158.0039659818,43.2972225556,412.0708177162,201.341305702,272.3733519609,243.4114190568,294.0928093528,226.9813664433,214.6498176803,273.294235232,176.5556246093,132.8091933755,399.2566285599,151.0779801277,367.6929783132,46.6619683595,134.5469286816,48.7628155808,87.8580117059,459.7159249184,324.2576017283,126.8669711632,403.701306792,404.9255728835,124.4715500273,304.3153698534,351.2669320886,370.3675928982,136.3878712332,614.2055373731,296.2563499661,262.6056648339,207.58923812,167.1375442789,86.0346111565,251.8219560706,140.3059387717,168.1859528439,17.4422998738,175.92899866
2674.4102249487,1039.417782352,309.8438777611,1745.667922037,1897.9901322234,1985.5515105496,972.2793936563,1528.4003741303,1639.181417254,2150.4974211091,1445.4495146878,1178.7259070558,1960.702017385,1543.4824610061,852.0694646476,1857.6547519082,188.3197533998,1715.161791564,303.926897981,773.116464293,1410.7648775485,1218.4206140482,747.8236347702,5517.5766675952,497.5225506273,1100.6001603046,3246.568062608,1269.7003296528,4097.1324858931,914.2690387408,1771.707000627,1858.9945858313,5625.1446210104,577.7119238275,711.4602398522,435.9406884857,1380.6186915761,1464.2561376666,890.2164327829,34.0861621224,1623.2931591776
2731.5909294674,67.4744217226,38.0063795433,204.4857966385,111.0945782124,161.7305198493,93.60965698,132.3994362662,132.3769471604,127.0842574124,161.1036058174,88.731523883,293.122596973,185.7359495023,67.8978270104,166.6437990064,25.9662349205,67.8589743393,28.4122751876,50.7970297568,158.3097899456,133.4384445376,65.5252052051,340.4806177868,258.6935010924,82.8194393634,183.2780989133,133.3424530285,676.2151333716,55.783675772,261.8690729142,167.1262951811,258.2357244109,92.0476858136,58.9437016885,41.0935057545,107.3878874858,87.4769055845,90.9473823543,15.7432492258,286.8594003991
3023.8168266222,633.1215575081,200.8065904619,703.4182395426,1081.1211556262,678.1268192422,532.8279867018,985.8167672587,1174.6773047258,951.5929157086,1073.4312968544,676.2182432787,1040.0727124375,740.9596790456,488.7966321056,1194.9750801293,106.3604793333,674.4167585426,149.4730264786,344.1886475131,793.0833560618,793.6836531989,404.3453313437,2332.413141216,420.3520773996,477.3192688109,1246.6911404608,796.5269374215,1668.4196580742,430.9880607403,1177.5796944613,1008.9551218069,312.6761549603,366.8706591131,509.2955892223,233.2834866123,746.9275121622,708.0811592052,706.5027649485,23.2447305223,822.2170486744
3162.3722970755,95.8137648185,48.2439731577,114.1767625604,91.4969441343,44.8866533349,90.6212753767,82.8624216818,81.4885995045,130.2724708614,91.3204778686,101.8554122796,115.9192513235,81.3980946202,71.6142953185,179.8987941874,35.7999633974,412.0986445446,46.9192623144,161.0228802699,64.6591460375,69.5989515432,517.4113133375,216.7584709071,31.7578536062,50.5196010573,142.7375766829,58.1750949887,145.3130746932,74.9055445669,62.6968657942,65.231653272,120.3218702418,43.2091360753,70.9030203538,35.6707802685,128.2454991887,62.4289123284,91.1894877617,11.5625177769,83.379082191
3169.5986502752,300.9422642942,110.2221616802,355.147813118,676.4339845472,299.2206947153,354.7214441797,518.3290859721,661.3920091092,471.1914538923,1002.0078866727,365.236255253,646.3049017247,551.6602613854,353.1234493794,844.7609906236,50.8187428778,240.4101065645,54.0894868021,95.487050135,396.2198427595,434.7747699175,282.5787589301,1666.0504474273,304.5793064768,256.3402945389,1186.9220705571,550.4637135208,1545.1595726953,290.328803088,834.1492951985,851.9857709745,777.5322877512,189.5906052896,282.1568415051,151.5795431377,549.0743910158,441.581603013,577.3260857551,13.2916058723,392.3004041154
3247.907921832,131.1403959257,75.7326042783,512.8435024606,363.8074545323,370.1582744564,379.9033603327,391.1471004491,416.3725115775,684.2604182737,269.2657407596,319.8934340161,497.7588688257,337.926686063,198.3695353052,581.4878895097,64.596531519,541.3519426948,128.8345920576,168.450059886,281.2447651323,227.6952514963,198.478730624,1571.0545871833,218.6707810511,198.0344506808,444.3933051115,307.2956476009,586.4813753288,254.9097636682,493.8322520915,295.9365686231,156.6717678074,149.3434329269,209.9508760188,84.6815416575,367.9640861924,281.7750580029,216.9588826732,23.0436540416,325.5906269315
3254.5652532869,280.4289111245,124.868461614,1220.0657048396,1550.0153358378,1138.8117282609,755.6945909754,1250.3920875994,1549.9292225853,1801.3656336416,1286.8234027746,1002.4074145117,1679.0440019124,1091.7017874562,715.3339416504,1541.3955034566,137.4102775385,1320.4486553528,215.7231559013,557.4991746494,1025.1022010779,756.1075961026,495.2174228724,2572.0506784199,399.9026866772,573.012754047,1606.3915671375,810.4938019563,2519.1139939752,743.4067194657,1173.7259273026,1088.1662052488,125.9806504533,406.5095315812,628.572534327,319.0498685552,1072.5743080122,1186.9982152204,738.9188094648,24.9527388326,1277.5809615827
3300.0162794394,673.7797444879,189.8294538238,368.7489781586,1079.6605850251,517.4136373324,388.4416824495,1138.0671717007,1206.3185635972,1220.63889733,844.6983418969,736.8420253373,1093.0571903991,155.7081055145,726.8478881951,1238.3863341072,128.2269606131,156.9705852941,144.1254891411,69.9508342813,84.6906258448,617.7784793473,329.9144947092,854.2620992833,294.8775532539,380.0151304375,891.6573707274,673.8548989354,1774.0501625315,545.5522008961,979.7974938933,950.3885523589,109.6518845511,173.0806835053,594.9228871956,282.6464900253,831.0318523336,846.642068832,731.8608822777,21.1115322989,909.5969005665
