Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2745_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
5094.9291436358,0.003763077,0.0022815291,0.0023145086,0.003050906,0.0021323024,0.0020011173,0.0030574189,0.0038943853,0.0029325995,0.0364316635,0.0318731965,0.0042986147,0.0022253541,0.0029715388,0.0272218457,0.0028915819,0.0019952659,0.00152438,0.0025056074,0.0032722947,0.028423157,0.0398359792,0.0451876004,0.0646730882,0.0327579279,0.0248370412,0.0484209012,0.0052908515,0.011172196,0.0378886466,0.0482741951,0.0059011538,0.0342144706,0.0519276662,0.0238724621,0.0288833248,0.0269970923,0.0293319595,0.0206962528,0.0026858869
5246.1330253826,0.0063164281,0.0043801936,0.0056717838,0.0058958219,0.0060290675,0.0036709374,0.0061171563,0.0074901786,0.0071461485,0.0095687901,0.0062344085,0.00972251,0.0044349824,0.0046101691,0.0044652278,0.0069353222,0.0057216772,0.0089651673,0.0061064777,0.0070748506,0.0034388149,0.0042558997,0.0051975085,0.0043058462,0.0051800533,0.0042936834,0.0039173071,0.0194310345,0.0103419018,0.0043288416,0.0065049366,0.0107227986,0.0045497522,0.0045351084,0.0048199064,0.0040452034,0.0071088605,0.0063911435,0.0042737961,0.0075962238
5353.7436993868,0.0518557038,0.0438902062,0.0489068035,0.0418238457,0.073351557,0.0488987311,0.0357113904,0.0353700763,0.0541790237,0.0284998767,0.0453313383,0.042936138,0.0489930824,0.0443917095,0.0402253333,0.0482438588,0.0546339927,0.0669072481,0.057273138,0.0509178776,0.0498070689,0.047395979,0.08160778,0.0212272147,0.0564897858,0.0680718075,0.0432744459,0.0555386779,0.0466991356,0.0357843371,0.032076966,0.0997110771,0.046183037,0.0411380552,0.044030918,0.049090821,0.052745956,0.0332004363,0.0550813942,0.0505291433
5409.2850778982,0.0081129781,0.0039904343,0.0052350972,0.0056616957,0.0081065056,0.0064920405,0.0043041642,0.004581495,0.0058238935,0.0033413805,0.0060232891,0.0101408203,0.0067678896,0.0060164885,0.0049579279,0.0064827951,0.0093618607,0.0091697109,0.0081299075,0.0082632101,0.006792175,0.0078642419,0.0072384903,0.0210083156,0.0060729509,0.0074033859,0.005157088,0.0140765662,0.0065164215,0.0043358505,0.0028679919,0.0128135358,0.0059562832,0.0052259122,0.0043348687,0.0059517125,0.0056169596,0.0035489551,0.0090182235,0.0068409417
5527.5359460131,0.0045269555,0.0037360658,0.0094169207,0.0053840241,0.0037643981,0.0063842745,0.0069507567,0.0051356044,0.0054751921,0.0038022287,0.0058746294,0.0052393013,0.0054344158,0.0041785925,0.006232407,0.0022435308,0.0034177819,0.0042892641,0.0041011315,0.0063026032,0.0077320919,0.0056849867,0.0090831194,0.0103999169,0.0046523673,0.0062931169,0.0080498938,0.0071451647,0.00391547,0.0072556613,0.006661317,0.0085710685,0.0060712526,0.0051144705,0.0045264445,0.0058592181,0.0044349346,0.005434415,0.0035581386,0.0049881124
5873.6633961273,0.0028376644,0.0019651791,0.0028950468,0.0014969191,0.0021994439,0.0032121655,0.0021774835,0.0018541645,0.0028480501,0.0007732052,0.0024101563,0.0014368635,0.0026036887,0.0027260599,0.0028565482,0.0019353602,0.0025271906,0.0037937048,0.0028159587,0.0024435351,0.0024333158,0.0015113151,0.0025527015,0.0017012536,0.0019839317,0.0018869021,0.0025998358,0.0039978705,0.002328254,0.0021300046,0.0008520501,0.0021601793,0.0017532918,0.002257284,0.0017956769,0.0027966436,0.002137076,0.0014171404,0.0036395158,0.0022858395
5948.0256061234,0.0055333685,0.0073876465,0.0044970027,0.0027632406,0.0022013806,0.0101289636,0.0049748724,0.0033958478,0.009211739,0.0028123849,0.0038462444,0.0068955685,0.0044151926,0.0050662482,0.0120153167,0.014830553,0.0088396599,0.007710038,0.0085654621,0.0055098646,0.0060369528,0.0082186641,0.0067569052,0.0048701041,0.0032111702,0.0055981448,0.0056557314,0.0064478044,0.0139227387,0.0041645363,0.0038477151,0.0004371821,0.003074449,0.0047360662,0.0039259161,0.0048916639,0.0051924449,0.0047123351,0.0081095711,0.0033008243
5998.4222661515,0.0123358453,0.0112922784,0.0099285022,0.0080791738,0.00787364,0.01054021,0.0095948736,0.0084928468,0.00973893,0.0126277504,0.0104679844,0.0074778362,0.0101722992,0.0146106422,0.0101140779,0.0115657644,0.0112329025,0.0121403121,0.0131322239,0.012682855,0.0125121378,0.0077034473,0.0095411168,0.009540649,0.0084082546,0.0131435946,0.0158386462,0.0118390481,0.0097874563,0.0120501369,0.0118131101,0.0015328849,0.0125792875,0.0106690699,0.007540951,0.0101509089,0.0086969372,0.0112478629,0.0123973507,0.0099279949
6052.304722926,0.0220303366,0.0222219062,0.0159542739,0.0177044641,0.0194932819,0.0214023272,0.0196265487,0.0208803353,0.0187630877,0.0172305618,0.0205991025,0.0166844222,0.0207566509,0.0209760488,0.0222298632,0.0193075609,0.0156802048,0.0229389685,0.0196416915,0.0245622754,0.0275571104,0.0203558516,0.0266494136,0.0200607401,0.0197491888,0.0210579605,0.023298162,0.0184410013,0.0170692767,0.0222598467,0.0155692854,0.0058954231,0.0242651629,0.0221363801,0.0185751882,0.0212632819,0.0190482197,0.0208086966,0.0224888726,0.0204995652
6104.7852358146,0.0057707384,0.0045476403,0.0036156406,0.0038719015,0.0039189409,0.0049169697,0.0041230369,0.0033618819,0.0038083576,0.0022445788,0.0043615356,0.0027494475,0.00514549,0.0052137177,0.0055201701,0.0055492994,0.0037879899,0.005811026,0.0041556722,0.0067284478,0.0064348564,0.0036142108,0.0042126142,0.0049069988,0.0038880661,0.0037906893,0.0051595698,0.0059860922,0.0053388013,0.0044181453,0.0022514394,0.0285130419,0.0058258709,0.0054074449,0.0033842123,0.0050826643,0.003989861,0.0040123,0.0092831667,0.0104702171
6160.7979202273,0.0048585206,0.0048354632,0.0027733872,0.0020449459,0.0024543002,0.0023271517,0.0026994646,0.0022339799,0.0027915439,0.0008967573,0.0030028034,0.0015650542,0.0032370016,0.0031049974,0.0033307934,0.0034418807,0.0027658675,0.0045882997,0.0031350486,0.0028175813,0.0033078548,0.0016631601,0.0013499661,0.0024502574,0.0023933658,0.0017080813,0.0030159346,0.0018550244,0.002497638,0.0026543947,0.0011344289,0.0044770996,0.0034702965,0.0033761532,0.0022361465,0.0032619991,0.0022393699,0.00193944,0.0049875595,0.0032810385
6316.9805473803,0.018405471,0.0180653837,0.0124549623,0.0183336973,0.0137742834,0.0231353817,0.0166765772,0.0187665313,0.0146960833,0.0255220279,0.0183382494,0.0175500575,0.0246172035,0.0250772056,0.023049702,0.013613675,0.016590538,0.0094406524,0.0153125487,0.0221082657,0.0265932162,0.0265149535,0.0281989523,0.0251237324,0.0172267051,0.0294101381,0.0264681316,0.0253567169,0.0191797624,0.0239193931,0.0196309534,0.0083909679,0.0246225903,0.0218113104,0.0191435291,0.0257817567,0.0178597719,0.0268727175,0.0083122551,0.0164998162
