Mass,L1a1,L1a2,L1a3,L1a4,L1a5,L1b1,L1b2,L1b3,L1b4,L1b5
453.99,0.0002685022,0.0001047547,9.20182e-05,0.0001114369,0.0001157668,9.93597e-05,0.0005343185,0.0002344125,0.0008597676,0.0005660974
455.46,0.0004887783,0.0002614467,0.0001081088,0.0002299868,0.0002302521,0.0005836515,0.0004459625,0.0004512209,0.0005745867,0.0002956451
456.99,0.0004874749,0.0001760584,0.0002167204,0.0001932363,0.0001307183,0.0004662264,0.0003429676,0.0009478418,0.0006363759,0.0006305614
458.46,0.0002737158,0.0002658481,0.0002282855,0.0001134127,0.0002430677,0.0016689654,0.0028822873,0.0044830232,0.003807693,0.0033258224
459.95,0.0002606818,0.0001320438,0.0001030804,0.0001134127,0.0001401163,0.0009852593,0.0008197763,0.0026512702,0.0015299427,0.0012240746
461.44,0.0001733534,0.000232397,7.14021e-05,0.0001509535,9.39805e-05,0.000251526,0.0002075581,0.0004275943,0.0006363759,0.0003175036
462.91,0.000235917,0.0002975386,0.000253427,0.0002513258,0.0001495144,0.0020643198,0.0007565155,0.0003835841,0.0002487411,0.0019691151
464.39,0.0002867499,0.0001197197,0.0001236965,0.0002845198,9.39805e-05,0.000353665,0.0004125022,0.0001528777,0.0002524379,0.0001856118
465.86,0.0003480102,0.0001197197,0.0002499072,0.0001347517,7.98834e-05,0.000479428,0.0005097461,0.0002510901,0.000908354,0.0002037654
467.33,0.0002880533,0.0003072218,0.0002584554,0.0001090659,0.0001853978,0.0013271123,0.0005003354,0.0012976075,0.000824384,0.0013904212
468.82,0.0006139055,0.0004771181,0.0009035881,0.001133337,0.000580543,0.0002147004,0.0004172076,0.0005105189,0.0007800226,0.0006498265
470.34,0.0002059386,0.000141727,0.0001719684,0.0001493729,0.0002930482,0.0004071664,0.0010058989,0.0003335514,0.0002292009,0.0009425078
471.86,0.0001381613,0.0001496496,0.000211692,0.0001055094,9.69708e-05,0.0001987194,0.0003288516,0.0008297091,0.0002503254,0.0002159914
473.36,0.0002593784,0.0002552846,0.0001317418,0.0001197354,0.0001657474,0.0003119756,0.0015757689,0.0007027742,0.0002165262,0.0005768414
474.87,0.0001824772,0.0002464817,0.0001518551,9.60254e-05,0.000218291,0.0003814579,0.000247815,0.0003608841,0.000210717,0.0003452898
476.35,0.0003128181,9.85927e-05,0.0002549355,6.75734e-05,0.0001196115,0.0006684199,0.0003215321,0.0001385165,0.0003269018,0.0002030245
477.85,0.0001837806,0.0004322233,0.0001040861,0.0005196437,0.0001290095,0.0015862814,0.0016913114,0.0007667049,0.0009722556,0.0023955406
479.33,0.0002046352,0.0003089824,0.0002519186,0.0001928412,0.0004216305,0.0005940739,0.0005557539,0.0021018369,0.0008455085,0.0013759724
480.84,0.001064885,0.0002561649,0.0006536809,0.0009116487,0.0004049704,0.0007045507,0.0014659775,0.0011762319,0.0010176733,0.0013152133
482.34,0.0030343357,0.0059093986,0.0046386201,0.0046953663,0.004414946,0.0007670848,0.0020379387,0.0014217627,0.0011734666,0.0010295712
483.88,0.0005748033,0.0014850522,0.0016397333,0.0013483075,0.0009671444,0.0003620029,0.000709462,0.0006406966,0.0001954017,0.0007824593
