Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vana_1281_-_d1,enterococcus_faecium_vana_1575_-_d1,enterococcus_faecium_vana_1686_-_d1,enterococcus_faecium_vana_1906_-_d1,enterococcus_faecium_vana_1999_-_d1,enterococcus_faecium_vana_2087_-_d1,enterococcus_faecium_vana_2110_-_d1,enterococcus_faecium_vana_2690_-_d1,enterococcus_faecium_vana_2691_-_d1,enterococcus_faecium_vana_2799_-_d1,enterococcus_faecium_vana_2800_-_d1,enterococcus_faecium_vana_3249_-_d1,enterococcus_faecium_vana_3718_-_d1,enterococcus_faecium_vana_4021_-_d1,enterococcus_faecium_vana_4100_-_d1,enterococcus_faecium_vana_4179_-_d1,enterococcus_faecium_vana_4807_-_d1,enterococcus_faecium_vana_4903_-_d1,enterococcus_faecium_vana_750_-_d1,enterococcus_faecium_vana_918_-_d1,enterococcus_faecium_vana_979_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2745_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
13053.7630376356,0.0000736544,0.0000966350,0.0000542519,0.0000675852,0.0000483984,0.0000563341,0.0000639944,0.0000418950,0.0000575774,0.0000390063,0.0000567365,0.0000510259,0.0000597987,0.0000757884,0.0000684669,0.0000491910,0.0000653702,0.0000539278,0.0000493855,0.0000323145,0.0000517704,0.0000607562,0.0000565345,0.0000636324,0.0000679803,0.0000459752,0.0000774802,0.0001009197,0.0000598356,0.0000979489,0.0000734036,0.0000489207,0.0000754634,0.0000570605,0.0000686678,0.0000818510,0.0000543573,0.0000641063,0.0000728192,0.0000695381,0.0000684593,0.0000788508,0.0000231573,0.0000261098,0.0000493529,0.0000720631,0.0000410832,0.0000557259,0.0000485052,0.0000643302,0.0000524392,0.0000317654,0.0000434187,0.0000605719,0.0000873540,0.0000950244,0.0000705101,0.0000683485,0.0000558090,0.0001760067,0.0000647576
13059.1116773266,0.0000759647,0.0000937809,0.0000550470,0.0000674683,0.0000474873,0.0000502637,0.0000585060,0.0000407487,0.0000573993,0.0000372316,0.0000514746,0.0000551305,0.0000561452,0.0000728156,0.0000674606,0.0000491463,0.0000619766,0.0000617179,0.0000530236,0.0000323498,0.0000556251,0.0000639228,0.0000545696,0.0000621297,0.0678000000,0.0000478552,0.0000743193,0.0001026501,0.0000610429,0.0001042747,0.0789000000,0.0000493378,0.0000777467,0.0000575440,0.0000679348,0.0000814921,0.0000538763,0.0000663206,0.0000747763,0.0000667781,0.0000757075,0.0000796901,0.0000247412,0.0000230627,0.0000448430,0.0000729853,0.0000377671,0.0000513639,0.0000446119,0.0000694379,0.0000524270,0.0000338164,0.0422000000,0.0000603679,0.0000852736,0.0000825734,0.0714000000,0.0000640310,0.0000574206,0.0001760011,0.0000625690
13064.5310560133,0.0000745998,0.0000946888,0.0000539188,0.0000653908,0.0000402014,0.0000445638,0.0000623823,0.0000422107,0.0000559070,0.0000350381,0.0000501033,0.0000545380,0.0000587436,0.0000730761,0.0000707060,0.0000502898,0.0000603785,0.0000697842,0.0000536969,0.0000321046,0.0000567510,0.0000631926,0.0000534365,0.0000619511,0.0000673104,0.0000448081,0.0000746058,0.0001003144,0.0000614436,0.0001031098,0.0000780821,0.0000550535,0.0000662659,0.0000545102,0.0000665605,0.0000771651,0.0000547361,0.0000625308,0.0000704715,0.0000690529,0.0000745279,0.0000800374,0.0000266796,0.0000219782,0.0000476169,0.0000770636,0.0000332546,0.0000522740,0.0000426742,0.0000690079,0.0000480738,0.0000339527,0.0000448998,0.0000510570,0.0000871195,0.0000865995,0.0000693465,0.0000614421,0.0000589660,0.0001521632,0.0000615897
13070.6149794616,0.0000760441,0.0000892496,0.0000489843,0.0000656917,0.0000501430,0.0000534085,0.0000603910,0.0000417561,0.0000548238,0.0000371049,0.0000504536,0.0000537286,0.0000601629,0.0000724666,0.0000711578,0.0000584465,0.0000625510,0.0000735427,0.0000512113,0.0000244372,0.0000554758,0.0000606538,0.0000532419,0.0000616340,0.0000680412,0.0000440705,0.0000781223,0.0001002229,0.0000636448,0.0000969495,0.0000779460,0.0000552521,0.0000590646,0.0000520188,0.0000672228,0.0000793475,0.0000549305,0.0000636155,0.0000690933,0.0000698586,0.0000671595,0.0000774954,0.0000344388,0.0000219685,0.0000435753,0.0000763232,0.0000342735,0.0000536809,0.0000428183,0.0000652866,0.0000443679,0.0000354536,0.0000442808,0.0000502372,0.0000878096,0.0000817009,0.0000674233,0.0000619092,0.0000619637,0.0001756849,0.0000627896
13075.9670859497,0.0000799048,0.0000892242,0.0000535402,0.0000664325,0.0000505784,0.0000558161,0.0000570817,0.0000385367,0.0000550419,0.0000348721,0.0000501345,0.0000576818,0.0000612226,0.0000727474,0.0000684981,0.0000596026,0.0000623948,0.0000592421,0.0000536286,0.0000299995,0.0000554917,0.0000632419,0.0000544954,0.0000632249,0.0000666740,0.0000467527,0.0000768058,0.0001016672,0.0000629493,0.0000983219,0.0000730939,0.0000509584,0.0000633297,0.0000538968,0.0000665388,0.0000832348,0.0000538497,0.0000666359,0.0000689180,0.0000678199,0.0000651350,0.0000733672,0.0000418981,0.0000209810,0.0000480621,0.0000739920,0.0000339895,0.0000571039,0.0000446267,0.0000623968,0.0000451062,0.0000356990,0.0000404316,0.0000531864,0.0000878186,0.0000704899,0.0000706569,0.0000656119,0.0000632556,0.0001692539,0.0000633409
13081.3932276866,0.0000803912,0.0000924883,0.0000557797,0.0000683550,0.0000495580,0.0000570557,0.0000529748,0.0000391788,0.0000554839,0.0000333166,0.0000507822,0.0000574312,0.0000591201,0.0000747201,0.0000673961,0.0000565844,0.0000606152,0.0000723776,0.0000487790,0.0000349191,0.0000552205,0.0000607441,0.0000536626,0.0000631302,0.0000653593,0.0000480589,0.0000760108,0.0001030086,0.0000606062,0.0000986771,0.0000760689,0.0000525799,0.0000644301,0.0000562754,0.0000710952,0.0000783950,0.0000540790,0.0000640126,0.0000702229,0.0000667571,0.0000655150,0.0000781949,0.0000435607,0.0000227324,0.0000438540,0.0000802205,0.0000348271,0.0000590540,0.0000455587,0.0000638829,0.0000431055,0.0000275518,0.0000427768,0.0000617867,0.0000840078,0.0000767126,0.0000727498,0.0000651733,0.0000592119,0.0001758502,0.0000656714
13087.4778417314,0.0000751857,0.0000951084,0.0000568601,0.0000659623,0.0000443835,0.0000636160,0.0000573566,0.0000403285,0.0000575632,0.0000398645,0.0000512499,0.0000557371,0.0000564048,0.0000736259,0.0000690514,0.0000408897,0.0000609357,0.0000727530,0.0000490774,0.0000355748,0.0000524365,0.0000596928,0.0000537799,0.0000616165,0.0000684229,0.0000477590,0.0000686763,0.0001012250,0.0000609470,0.0000972104,77.0000000000,0.0000526792,0.0000697961,0.0000581851,0.0000730131,0.0000782179,0.0000529689,0.0000630823,0.0000713488,0.0000651435,0.0000670262,0.0000798140,0.0000312823,0.0000232920,0.0000441932,0.0000834513,0.0000358485,0.0000614095,0.0000443350,0.0000641979,0.0000433597,0.0000283656,0.0000449329,0.0000512480,0.0000872852,0.0000762618,0.0000679745,0.0000629673,0.0000550582,0.0001744970,0.0000628837
13092.8334150473,0.0000771366,0.0000922422,0.0000571445,0.0000675038,0.0000430666,0.0000610366,0.0000560135,0.0000380643,0.0000607265,0.0000402240,0.0000441045,0.0000544047,0.0000544438,0.0000701699,0.0000682194,0.0000445350,0.0000638064,0.0000803504,0.0000465744,0.0000342792,0.0000548222,0.0000611297,0.0000532044,0.0000649156,0.0000679381,0.0000476278,0.0000741048,0.0000997821,0.0000598790,0.0000997699,0.0000756960,0.0000518709,0.0000689845,0.0000576046,0.0000716715,0.0000814563,0.0000531252,0.0000621217,0.0000752938,0.0000663158,0.0000702567,0.0000772638,0.0000249690,0.0000193649,0.0000423528,0.0000765214,0.0000385777,0.0000610980,0.0000442580,0.0000642809,0.0000438615,0.0000309723,0.0000415352,0.0000563927,0.0000847306,0.0000829038,0.0000672372,0.0000687101,0.0000556138,0.0001681158,0.0000623602
13098.2663277614,0.0000766563,0.0000885028,0.0541000000,0.0000666816,0.0000434642,0.0000582003,0.0000583848,0.0000382793,0.0000606751,0.0000383151,0.0000495595,0.0000522428,0.0000523845,0.0000711225,0.0000676879,0.0000541593,0.0000636767,0.0000819399,0.0000458827,0.0000273830,0.0000556644,0.0000632717,0.0000507728,0.0000647223,0.0000668197,0.0000459672,0.0000762266,0.0001009109,0.0000617205,0.0000977913,0.0000746446,0.0000515934,0.0000623607,0.0000535227,0.0000644850,0.0000759825,0.0000509182,0.0000585001,0.0000741960,0.0000652261,0.0000679993,0.0000733612,0.0000248071,0.0000203437,0.0000404384,0.0000665796,0.0000395891,0.0000546872,0.0000423741,0.0000665387,0.0000460289,0.0000341178,0.0000397338,0.0000591507,0.0000851149,0.0000797993,0.0000679728,0.0000665011,0.0000574598,0.0001468317,0.0000589907
13104.3516245418,0.0000757930,0.0000781653,0.0000470053,0.0000631664,0.0000471394,0.0000593560,0.0000598739,0.0000403109,0.0000592391,0.0000351335,0.0000510237,0.0000528830,0.0000553320,0.0000679463,0.0000696479,0.0000483387,0.0000590702,0.0000737417,0.0000511930,0.0000299171,0.0000551480,0.0000610473,0.0000504780,0.0000611235,0.0000679055,0.0000468394,0.0000757074,0.0001011227,0.0000613741,0.0000946970,0.0000744483,0.0000509082,0.0000611087,0.0000540299,0.0000685842,0.0000798936,0.0000486698,0.0000623430,0.0000718876,0.0000694503,0.0000641969,0.0000757233,0.0000276134,0.0000196740,0.0000474519,0.0000691663,0.0000359872,0.0000574251,0.0000418776,0.0000686404,0.0000487504,0.0000336182,0.0000377081,0.0000525918,0.0000866189,0.0000776464,0.0000672288,0.0000622284,0.0000581969,0.0001430286,0.0000589303
13109.7106647161,0.0000736537,0.0000774207,0.0000501063,0.0000634276,0.0000485551,0.0000570676,0.0000599762,0.0000427574,0.0000596424,0.0000366476,0.0000526640,0.0000565527,0.0000563946,0.0000696258,0.0000686898,0.0000403833,0.0000612398,0.0000696887,0.0000537343,0.0000324203,0.0000529975,0.0000590931,0.0000553194,0.0000615833,0.0000685841,0.0000456689,0.0000823015,0.0001004881,0.0000630779,0.0000967135,0.0000719169,0.0000529072,0.0000722086,0.0000562539,0.0000692106,0.0000839317,0.0000514361,0.0000641237,0.0000734844,0.0000685014,0.0000709735,0.0000747598,0.0000331610,0.0000228786,0.0000475694,0.0000654624,0.0000391781,0.0000596309,0.0000436662,0.0000615255,0.0000475968,0.0000304220,0.0000362711,0.0000574280,0.0000857152,0.0000865662,0.0000715122,0.0000643593,0.0000565552,0.0001205977,0.0000572451
