"Mass","L1a_1","L1a_2","L1a_3","L1a_4","L1a_5","L1a_6","L1a_7","L1a_8","L1b_1","L1b_2","L1b_3","L1b_4","L1b_5","L1b_6","L1b_7","L1b_8","L21a_1","L21a_2","L21a_3","L21a_4","L21a_5","L21a_6","L21b_1","L21b_2","L21b_3","L21b_4","L21b_5","L21b_6","L21b_7","L21b_8"
757.72,45.79,31.59,36.44,29.7,37.47,45.67,27.75,16.15,49.12,67.92,67.47,67.98,84.02,66.37,65.55,68.32,62.21,31.95,54.77,66.54,24.14,2.16,61.36,90.25,50.19,50.05,33.45,36.95,74.26,21.23
758.37,4.98,25.98,11.45,12.69,22.08,19.56,16.22,9.42,12.03,40.14,23.15,19.99,20.93,22.33,19.35,21.42,21.42,21.67,34.12,12.05,9.26,6.53,12.6,27.42,12.68,14.65,17.89,24.27,18.11,22.32
759.48,371.32,95,37.7,108.57,512.81,389.22,296.08,106.37,370.97,425.29,201.22,52.76,543.59,425.8,474.12,588.23,423.06,278.73,356.89,61.87,69.32,40.42,465.73,381.23,547.06,98.33,384.77,438.79,358.44,56.28
760.1,0,9.48,4.97,8.8,12.1,8.91,10,16.72,10.35,4.79,21.6,5.05,3.6,2.76,0,4.7,4.26,5.01,6.54,26.58,16.66,6.36,8.06,8.74,12.9,12.02,1.92,11.72,5.78,0
760.7,184.29,44.24,128.86,38.95,164.05,8.37,58.29,81.66,218.61,116.63,67.39,127.06,53.86,115.72,265.71,67.44,155.58,24.48,100.73,160.38,36.18,20.75,25.6,151.32,181.32,124.59,139.4,47.37,71.59,13.19
761.28,11.26,45.89,125.32,80.77,225.39,166.71,146.83,3.89,178.17,5.82,164.55,21.44,67.48,88.26,25.2,100.24,35.72,8.67,73.3,18.7,6.46,27.05,75.91,51.56,58.8,67.93,23.82,126.7,16.6,14.99
761.9,6.16,6.8,11.62,2.16,0,0,0,50.25,0,95.42,1.71,8.13,15.71,11.65,7.92,4.01,11.22,2.59,3.66,5.02,7.94,1.9,1.61,0,9.42,3.4,0.81,0,16.12,28.28
762.48,49.05,163.7,46.82,37.29,225.74,147.33,32.16,42.21,111.39,32.01,216.87,170.1,170.11,257.92,228.33,194.93,234.63,229.09,173.82,171.7,199.16,20.45,183.47,88.48,52.91,21.34,198.67,173.84,23.63,23.11
763.08,4.45,7.59,10.61,8.92,0,21.42,10.96,6.15,37.47,2.85,9.01,38.44,0,0,10.78,10.61,2.21,0,40.42,8.7,0,6.22,0.25,11.26,0,8.29,0,0,30.81,31.23
763.78,0,58.88,8.87,10.05,32.92,0,34.41,9.52,0,13.94,46.05,0,26.84,58.5,18.96,6.98,50.71,51.12,0,8.54,34.79,3.38,31.33,24.74,42.78,13.36,58.64,39.45,0,0
764.43,30.23,94.7,62.72,57.7,93.64,40.78,30.94,25.4,63.9,61.21,83.98,49.67,59.93,104.26,90.18,116.05,153.76,143,115.13,163.37,182.65,40.47,116,70.56,179.11,140.74,151.55,112.49,113.69,120.59
765.2,15.6,0,0,10.31,9.67,5.05,17.21,0.85,0,0,34.76,28.85,0,0,0,33.32,48.58,4.54,0,0,0,10.34,5.47,25.03,0,0,0,0,0,3.99
765.8,1.17,54.83,25.07,0,0,0,0,2.4,23.36,29.66,0,0,31.58,34.15,49.79,0,0,47.58,46.13,50.81,64.93,1.52,25.33,0,79.5,45.89,59.2,42.61,44.45,39.59
766.48,187.19,279.2,250.64,181.66,303.52,192.21,119.78,75.01,281.67,398.04,357.57,296.67,432.89,378.53,384.32,422.95,332.99,256.52,279.94,295.02,286.08,86.31,334.85,321.12,363.07,322.15,339.49,308.24,334.16,300.8
767.06,0,0,0,0,0,0,1.04,0,7.69,0,0,2.14,0,3.03,4.4,0,0,5.71,0,0,0,4.24,0.87,0,0,0,1.61,0,9.82,0
767.75,60.23,67.99,133.28,39.43,120.7,56.91,41.9,24.81,90.3,239.88,217,182.82,275.37,174.4,198.32,172.12,113.66,93.26,83.08,126.17,129.74,38.1,158.82,186.18,170.75,148.68,152.14,137.13,161.52,141.18
768.5,130.69,151.99,163.24,104.28,188.18,134.06,90.9,112.24,228.24,264.96,221.34,227.44,310.71,269.45,248.88,337.43,179.85,127.74,181.17,174.36,145.48,37.68,168.28,174.12,235.61,206.86,169,148.26,189.84,190.53
769.12,0,8.65,0,0,12.27,0,0.22,0,2.74,0,0,5.99,5.6,0,0,11.01,0,4.1,2.39,0,4.92,3.09,2.78,10.77,8.4,0,8.72,9.96,0,0
769.8,90.99,130.58,91.56,44.22,85.97,102.18,70.29,56.5,138.63,136.05,154.98,153.86,187.3,163.46,155.19,194.34,78.89,43.35,78.23,75.22,50.47,12.25,71.52,78.38,123.8,81.86,55.84,76.73,91.09,78.94
770.53,269.74,313.54,323.59,205.06,361.09,286.6,244.57,194.2,379.75,466.96,519.82,349.14,551.87,418.47,467.8,648,428.65,326.44,421.78,456.25,366.43,145.85,456.73,372.51,664.72,518.83,518.25,360.64,515.6,440.31
771.14,2.3,0,0,0,1.87,0,4.17,1.84,4.65,7.9,10.87,7.11,0,12.28,0,0,1.15,15.57,3.14,0,9.22,14.43,0,3.18,8.09,0,3.24,0,10.42,1.71
771.82,204.4,160.52,245.76,110.15,249.02,207.4,156.56,98.72,248.69,286.3,246.07,214.09,293.21,329.88,275.55,388.05,213.33,161.69,234.26,254.46,210.32,40.69,307.3,198.01,304.67,308.99,236.48,219.96,265.34,233.7
772.48,101.86,91.87,62.27,64.39,172.45,63.54,36.76,7.74,116.66,52.61,123.75,115.34,147.09,120.62,139.86,142.11,88.95,64.73,69.63,99.08,71.44,19.07,79.51,48.6,115.84,87.8,89.64,105.52,122.9,105.89
773.07,7.72,9.9,4.82,5.14,0,5.87,11.44,7.41,0,5.98,2.24,0,20.87,0,22.07,11.51,20.53,10.18,24.33,3.28,8.74,10.67,15.39,2.83,7.31,6.37,16.62,9.02,11.46,8.8
773.7,29.84,10.89,17.88,21.07,62.23,55.34,42.48,12.23,32.94,22.85,60.37,14.33,10.77,59.67,45.96,21.62,38.71,33.78,18.85,48.16,7.66,4.38,17.25,29.56,59.06,41.14,33.57,13.75,19.89,8.13
774.28,21.17,6.51,39.22,33.44,23.42,8.47,34.77,0,23.57,29.59,5.62,3.11,27.12,25.77,15.22,11.47,35.99,20.17,11.33,8.03,19.81,38.09,24.64,23.52,7.98,16.84,11.88,19.68,27.72,21.45
774.86,2.1,17.24,0,0,2.17,0,0,42.78,2.03,0,1.42,27.31,0,0,6.24,0,0,2.12,0,1.66,0,5.74,41.61,0,0,0,0,0,0,0
775.45,15.1,8.41,34.03,6.69,17.63,17.07,19.25,4.25,4.99,7.04,14.45,22.63,8.52,9.27,4.81,12.45,1.9,3.31,3.55,8.11,8.22,2.77,4.94,1.83,1.85,0,15.35,11.19,8.22,3.14
776.03,1.74,0,0,3.7,0,2.53,7.52,10.5,0,0,0,0,0,3.21,0,6.43,20.87,27.16,23.21,14.16,4.63,145.85,9.42,15.86,8.13,3.57,11.27,11.58,19.63,15.55
