Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vana_1281_-_d1,enterococcus_faecium_vana_1575_-_d1,enterococcus_faecium_vana_1686_-_d1,enterococcus_faecium_vana_1906_-_d1,enterococcus_faecium_vana_1999_-_d1,enterococcus_faecium_vana_2087_-_d1,enterococcus_faecium_vana_2110_-_d1,enterococcus_faecium_vana_2690_-_d1,enterococcus_faecium_vana_2691_-_d1,enterococcus_faecium_vana_2799_-_d1,enterococcus_faecium_vana_2800_-_d1,enterococcus_faecium_vana_3249_-_d1,enterococcus_faecium_vana_3718_-_d1,enterococcus_faecium_vana_4021_-_d1,enterococcus_faecium_vana_4100_-_d1,enterococcus_faecium_vana_4179_-_d1,enterococcus_faecium_vana_4807_-_d1,enterococcus_faecium_vana_4903_-_d1,enterococcus_faecium_vana_750_-_d1,enterococcus_faecium_vana_918_-_d1,enterococcus_faecium_vana_979_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
2265.9102227177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1438066395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2328.8992798815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0759017076,0,0,0,0,0,0,0.0741068132,0,0,0,0,0,0,0,0
2406.3610733402,0.0828443734,0,0.3357779876,0.1803877041,0.3626856591,0.2663108496,0.2609257642,0.2221051792,0.161045895,0.5083341554,0.1201779131,0.2150612463,0.2126645866,0.0985375392,0.2735670365,0,0.0964843289,0,0.0752570759,0.2134230511,0.3559634172,0.1216416771,0.2736537913,0.1579940781,0.1528933292,0.2146614333,0.1439507774,0.1345385616,0.1697166382,0.1832649114,0.2668219235,0.1639964925,0,0.1658365676,0.0870850646,0,0.3522148045,0.1369023226,0.181171014,0,0.2418505827,0.1561829118,0.2198157633,0.3548447281,0.416597136,0.2255246254,0.3480310754,0.2575386341,0.3273013768,0.2270427686,0.4015102857,0.4327486342,0.1474288656,0.0692691135,0.1812484094,0.1432497889,0.1171502175,0.1685446714,0,0.133339725
2427.8224054138,0,0,0,0.0963068141,0,0,0,0,0,0.1433909839,0,0.105078083,0,0,0,0,0,0,0,0,0.1445540486,0,0,0,0,0.085991374,0,0,0,0,0.0728509659,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606038324,0.064041632,0.0735332904,0,0,0,0,0.144368721,0,0,0,0,0,0,0,0
2446.8381548641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072463975,0,0,0,0,0,0.07547214,0,0,0,0,0,0,0,0,0
2536.561111744,0,0,0.0643786963,0,0,0,0,0,0,0.1011951029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746566339,0,0,0,0,0,0,0,0.0889488747,0,0,0.0549886127,0,0,0.0802354855,0.0815464064,0,0,0,0,0,0,0,0
2545.6224410987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639266818,0,0,0,0,0.0804665869,0.1162462503,0,0,0,0,0,0,0,0.128556601,0,0,0,0,0,0,0,0
2554.6999590905,0,0,0.1010454789,0,0.1199267609,0.0750421933,0.0735984267,0,0,0.1602242502,0,0,0.079719008,0,0.0767759715,0,0,0,0,0.0854684505,0,0,0,0,0,0,0,0,0,0,0.0817772034,0,0,0,0,0,0.1206092127,0,0,0,0,0.0694683749,0.0945812225,0.12159335,0.1382638747,0.0770716715,0.108256938,0.0897623287,0.097699939,0,0.1210435274,0.1346818834,0.0661911572,0,0.0746803914,0,0,0,0,0
2675.5091152361,0.0831916355,0.0466045813,0.0939445539,0.1588834505,0.1733534221,0.0731453838,0.0812264754,0.0902315598,0.1038956354,0.1553602712,0.0590905179,0.1873773334,0.0898465832,0.0737695679,0.0953262955,0,0.1018596385,0,0.0940252254,0.0880115597,0.3987606783,0.063675204,0.1109910605,0.1122402697,0.0978201494,0.2117137866,0,0.1368581322,0,0.0665948727,0,0.1142037374,0,0.0848776938,0,0,0.0712659285,0,0,0,0.1271138075,0.0851688721,0.120936956,0.3441405183,0,0.1363253695,0.2635443968,0.0765325445,0.1722334511,0.1261178673,0.0892361895,0.179947766,0.0533316604,0,0.1092560096,0.0811124014,0.1549917955,0.1107226662,0,0.1236269012
2689.039089763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782416685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
