"Mass","P1aDD_1","P1aDD_2","P1aDD_3","P1aDD_4","P1aDD_5","P1aDD_6","P1aDD_7","P1bDD_1","P1bDD_2","P1bDD_3","P1bDD_4","P1bDD_5","P1bDD_6","P1bDD_7","P1bDD_8","P21aDD_1","P21aDD_2","P21aDD_3","P21aDD_4","P21aDD_5","P21aDD_6","P21aDD_7","P21aDD_8","P21bDD_1","P21bDD_2","P21bDD_3","P21bDD_4","P21bDD_5","P21bDD_6","P21bDD_7","P21bDD_8"
5618.19,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5624.83,0,0,0.47,0.64,0.73,0,0.59,0.75,0,1.27,0.6,0,0,0,0.85,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0
5634.06,0,0,0.27,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5644.76,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5662.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0
5678.52,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5686.21,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0
5693.68,0,0,0,0,0,0,0.35,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89
5701.59,0,0,0,0,0,4.27,0,0,0,0,0,0,0,1.39,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0.64
5708.64,0,0.47,0,0,0,0,0.37,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.37,0,0,0,0
5716.56,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0
